,number,value,datetime_start,datetime_complete,duration,params_clip_range,params_ent_coef,params_learning_rate,params_vf_coef,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_fixed_params,state
34,34,0.229075,2021-03-01 22:25:19,2021-03-01 23:37:53,0 days 01:12:34,0.3,0.01,0.00251,0.6,0.3618628067967275,0.2290748898678414,,,PRUNED
35,35,0.162618,2021-03-01 23:29:23,2021-03-02 00:44:39,0 days 01:15:16,0.1,0.003,0.00171,0.6,0.36312146003775947,0.16261799874134675,,,PRUNED
36,36,0.218628,2021-03-01 23:31:58,2021-03-02 03:20:32,0 days 03:48:34,0.2,0.002,0.00081,0.7,0.21862806796727496,,,,PRUNED
37,37,0.0128383,2021-03-01 23:33:30,2021-03-02 03:18:36,0 days 03:45:06,0.2,0.003,0.00041,0.7,0.012838263058527399,,,,PRUNED
38,38,0.272498,2021-03-01 23:37:53,2021-03-02 03:15:35,0 days 03:37:42,0.2,0.008,0.00241,0.6,0.26255506607929513,0.35166771554436754,0.27249842668344876,,PRUNED
39,39,0.0105727,2021-03-01 23:40:09,2021-03-02 00:06:44,0 days 00:26:35,0.3,0.006,0.00101,0.5,0.010572687224669641,,,,PRUNED
40,40,0.0061674,2021-03-01 23:40:52,2021-03-02 00:07:50,0 days 00:26:58,0.2,0.008,0.00251,0.6,0.006167400881057272,,,,PRUNED
41,41,0.180994,2021-03-01 23:42:55,2021-03-02 03:23:05,0 days 03:40:10,0.1,0.006,0.00131,0.8,0.3574575204531152,0.18099433606041537,,,PRUNED
42,42,0.131907,2021-03-01 23:53:35,2021-03-02 00:19:40,0 days 00:26:05,0.1,0.008,0.00241,0.6,0.13190685966016358,,,,PRUNED
43,43,0.0390183,2021-03-02 00:00:39,2021-03-02 00:27:06,0 days 00:26:27,0.3,0.006,0.00071,0.6,0.03901825047199496,,,,PRUNED
44,44,0.134802,2021-03-02 00:06:45,2021-03-02 00:32:19,0 days 00:25:34,0.3,0.01,0.00081,0.9,0.13480176211453743,,,,PRUNED
